Date,TimeOfCall,Age,Gender,Race,Language,City,Reason for Dispatch
12/7/2022,1:28:00,16,Male,Chose not to Disclose,English,Eugene,Counseling
11/10/2022,13:12:00,55,Male,White,English,Eugene,Police Assist
1/20/2021,17:25:01,53,Male,White,English,Eugene,Public Assist
1/20/2021,21:34:01,32,Female,White,English,Eugene,Public Assist
1/20/2021,22:10:30,50,Male,Black or African American,English,Eugene,Public Assist
1/20/2021,16:09:34,Unavailable,Female,White,English,Eugene,Public Assist
1/20/2021,18:08:28,46,Male,Black or African American,English,Eugene,Public Assist
1/20/2021,18:41:49,Unavailable,Male,Other Single Race,English,Eugene,Public Assist
1/20/2021,19:26:10,59,Male,White,English,Eugene,Check Welfare
1/20/2021,19:56:02,56,Male,White,English,Eugene,Public Assist
1/20/2021,20:23:09,59,Male,White,English,Eugene,Public Assist
1/20/2021,20:28:43,44,Male,White,English,Eugene,Check Welfare
1/14/2021,14:28:00,34,Male,White,English,Springfield,Public Assist
1/14/2021,14:55:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/14/2021,14:53:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Springfield,Check Welfare
1/14/2021,16:11:00,35,Male,White,English,Springfield,Check Welfare
1/14/2021,17:10:00,68,Female,White,English,Eugene,Check Welfare
1/14/2021,17:34:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/14/2021,18:01:00,Unavailable,Male,Chose not to Disclose,English,Eugene,Public Assist
1/14/2021,19:20:00,72,Male,White,English,Eugene,Check Welfare
1/14/2021,19:52:00,21,Female,White,English,Eugene,Public Assist
1/14/2021,21:10:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/14/2021,21:34:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Check Welfare
1/14/2021,22:07:00,31,Male,White,English,Eugene,EMS Assist
1/14/2021,22:50:00,22,Female,White,English,Eugene,Public Assist
1/14/2021,23:31:00,76,Male,White,English,Eugene,Check Welfare
1/15/2021,0:18:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/15/2021,0:51:00,49,Male,White,English,Eugene,Police Assist
1/15/2021,1:35:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Transport
1/15/2021,1:46:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Public Assist
1/15/2021,2:00:00,Unavailable,Chose not to Disclose,Chose not to Disclose,English,Eugene,Transport
1/15/2021,2:20:00,Unavailable,Female,Two or More Unspecified Race,English,Eugene,Public Assist
1/15/2021,2:44:00,73,Female,White,English,Eugene,Counseling
1/15/2021,20:08:18,Unavailable,Male,Chose not to Disclose,English,Springfield,Check Welfare
