Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
1/1/2021,48,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,48
1/2/2021,46,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,11,46
1/3/2021,33,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,33
1/4/2021,31,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,10,31
1/5/2021,48,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,10,48
1/6/2021,42,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,11,42
1/7/2021,38,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,14,38
1/8/2021,30,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,10,30
1/9/2021,42,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,10,42
1/10/2021,47,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,9,47
1/11/2021,43,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,10,43
1/12/2021,24,PM2.5,"
",41-039-0100,AQS,.,5,24
1/13/2021,35,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,15,35
1/14/2021,52,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,22,52
1/15/2021,33,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,12,33
1/16/2021,45,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,12,45
1/17/2021,35,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,11,35
1/18/2021,54,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,18,54
1/19/2021,68,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,21,68
1/20/2021,92,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,41,92
1/21/2021,77,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,27,77
1/22/2021,59,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,18,59
1/23/2021,68,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,24,68
1/24/2021,54,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,15,54
1/25/2021,38,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,10,38
1/26/2021,40,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,11,40
1/27/2021,48,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,9,48
1/28/2021,39,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,11,39
1/29/2021,27,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,12,27
1/30/2021,54,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,12,54
1/31/2021,39,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,39
2/1/2021,40,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,10,40
2/2/2021,20,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,20
2/3/2021,28,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,28
2/4/2021,45,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,12,45
2/5/2021,27,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,8,27
2/6/2021,22,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,22
2/7/2021,30,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,7,30
2/8/2021,37,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,18,37
2/9/2021,56,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,19,56
2/10/2021,64,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,27,64
2/11/2021,63,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,17,63
2/12/2021,33,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,11,33
2/13/2021,18,PM2.5,"
",41-039-0100,AQS,.,9,18
2/14/2021,33,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,33
2/15/2021,20,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,20
2/16/2021,18,PM2.5,"
",41-039-0100,AQS,.,8,18
2/17/2021,33,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,15,33
2/18/2021,37,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,9,37
2/19/2021,28,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,6,28
2/20/2021,24,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,8,24
2/21/2021,25,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,7,25
2/22/2021,22,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,22
2/23/2021,27,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,11,27
2/24/2021,50,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,15,50
2/25/2021,25,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,11,25
2/26/2021,26,PM2.5,"
",41-039-0100,AQS,.,9,26
2/27/2021,29,PM2.5,"
",41-039-0100,AQS,.,12,29
2/28/2021,40,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,10,40
3/1/2021,46,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,15,46
3/2/2021,56,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,26,56
3/3/2021,64,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,22,64
3/4/2021,63,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,22,63
3/5/2021,56,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,17,56
3/6/2021,24,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,24
3/7/2021,44,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,13,44
3/8/2021,42,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,16,42
3/9/2021,28,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,7,28
3/10/2021,35,PM2.5,Eugene - AMAZON PARK (EAP),41-039-0060,AQS,.,8,35
3/11/2021,52,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,19,52
3/12/2021,66,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,29,66
3/13/2021,60,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,19,60
3/14/2021,37,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,11,37
3/15/2021,24,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,10,24
3/16/2021,40,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,16,40
3/17/2021,51,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,24,51
3/18/2021,33,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,14,33
3/19/2021,28,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,9,28
3/20/2021,19,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,6,19
3/21/2021,19,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,8,19
3/22/2021,19,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,8,19
3/23/2021,42,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,18,42
3/24/2021,28,PM2.5,Cottage Grove - City Shops (CGC),41-039-9004,AQS,.,12,28
3/25/2021,18,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,8,18
3/26/2021,43,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,20,43
3/27/2021,51,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,22,51
3/28/2021,25,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,15,25
3/29/2021,25,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,15,25
3/30/2021,55,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,27,55
3/31/2021,61,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,34,61
4/1/2021,55,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,26,55
4/2/2021,51,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,29,51
4/3/2021,56,PM2.5,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,29,56
4/4/2021,41,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,19,41
4/5/2021,29,PM10,Eugene - Hwy 99 (E99),41-039-0059,AQS,.,29,27
4/6/2021,48,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,31,48
4/7/2021,36,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,17,36
4/8/2021,29,PM2.5,Oakridge - (OAK),41-039-2013,AQS,.,10,29
