Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in),
date,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total,
1/1/2020,54,50.5,45,49,46.1,42,90,84.9,66,14,8.6,3,29.8,29.7,29.6,0.52,
1/2/2020,52,46.1,40,44,41.8,38,93,85.2,71,12,7.1,0,29.8,29.8,29.7,0.06,
1/3/2020,60,48.3,36,42,36.5,32,93,66.6,40,26,10.9,3,29.8,29.6,29.4,0,
1/4/2020,50,43.8,38,41,38,35,93,80.2,63,13,9.1,5,30.1,30,29.7,0.33,
1/5/2020,49,44.3,42,43,39,36,86,81.4,71,17,11.4,8,30.2,30.1,29.9,0.03,
1/6/2020,52,47.1,44,43,40.3,38,83,77.2,71,25,14.8,8,30.1,30,29.9,0.19,
1/7/2020,53,49.4,47,45,41,39,86,73,63,18,12,6,29.9,29.6,29.5,0.03,
1/8/2020,47,43.8,39,43,40.1,36,93,86.9,76,12,7,3,29.6,29.6,29.5,0.34,
1/9/2020,45,40.6,37,39,36.6,34,97,86,71,12,5.8,0,29.9,29.8,29.6,0.05,
1/10/2020,48,45.1,41,44,39.3,34,90,80.7,58,22,13.8,8,29.9,29.6,29.5,0,
1/11/2020,46,43.9,40,42,38.8,36,90,82.3,73,21,11,5,29.8,29.7,29.5,0.57,
1/12/2020,49,42.9,37,42,38.6,33,90,85,73,16,11.1,0,29.7,29.6,29.4,0.44,
1/13/2020,40,38.7,37,36,35.3,33,93,87.8,86,14,8.8,3,29.6,29.5,29.4,0.74,
1/14/2020,41,36,33,35,31.6,28,93,84.3,65,12,6.8,0,29.8,29.6,29.5,0.38,
1/15/2020,52,39.3,30,38,32.1,26,89,76.6,48,29,14.2,6,29.7,29.3,29.1,0.02,
1/16/2020,44,38.2,33,37,34.6,31,96,87.3,71,9,4.5,0,29.6,29.4,29.2,0.42,
1/17/2020,45,39.7,33,38,34.7,31,92,82.8,73,15,8.3,0,29.8,29.7,29.6,0.03,
1/18/2020,55,47.9,43,45,41.1,36,89,77.3,67,15,8.8,5,29.9,29.8,29.7,0.01,
1/19/2020,56,48.9,46,47,44.9,41,97,86.5,72,12,5.2,0,29.9,29.7,29.6,0.1,
1/20/2020,49,44.4,39,46,42.1,37,97,91.8,80,7,2.5,0,29.6,29.6,29.3,0,
1/21/2020,51,45.8,43,43,40.6,38,93,82.2,71,22,12.4,3,29.7,29.5,29.3,0.25,
1/22/2020,52,48.9,44,46,43.5,40,89,81.6,77,17,10.7,8,29.7,29.7,29.7,0.18,
1/23/2020,60,54.8,51,50,47.1,45,92,75.8,62,17,11.1,5,29.7,29.6,29.5,0.03,
1/24/2020,56,51.4,49,49,46.3,44,90,82.9,72,12,9.1,6,29.7,29.6,29.6,0.68,
1/25/2020,58,52.2,48,52,48,43,93,85.8,74,12,6.4,0,29.7,29.6,29.4,0.1,
1/26/2020,56,50.7,47,52,44.7,41,94,80.6,57,17,10.1,3,29.8,29.7,29.5,0.42,
1/27/2020,53,48.9,44,48,44.8,41,93,85.8,77,20,10.9,0,29.8,29.7,29.6,0.07,
1/28/2020,52,49,46,47,45,43,93,86,80,22,11,3,29.9,29.8,29.6,0.45,
1/29/2020,50,48.1,46,47,44.8,42,96,88.5,74,10,5.9,0,29.9,29.8,29.8,0.35,
1/30/2020,57,50.7,47,50,46.9,43,96,87.3,74,14,4.9,0,29.9,29.9,29.8,0,
1/31/2020,64,56.4,50,53,50.3,48,93,80.3,63,17,8,0,29.9,29.8,29.8,0,
2/1/2020,55,50.8,43,52,46.6,37,94,85.8,77,17,9.8,3,29.9,29.8,29.8,0,
2/2/2020,45,38.1,30,37,32.7,28,93,81.7,60,8,4.5,0,29.9,29.8,29.8,0.11,
2/3/2020,45,35,28,35,30.9,25,96,85.5,58,9,5.1,0,30.1,29.9,29.9,0,
2/4/2020,43,34.4,26,33,29.3,24,96,82.4,68,10,6.9,3,30.1,30.1,30,0.01,
2/5/2020,51,46.4,41,47,42,33,93,84.5,73,16,10.9,6,29.9,29.9,29.9,0,
2/6/2020,57,51.8,47,49,46.8,44,93,83.4,74,16,10.7,3,29.9,29.9,29.8,0,
2/7/2020,54,49.5,44,47,44.2,40,93,82.1,72,15,8.9,6,29.9,29.8,29.7,0,
2/8/2020,48,43.3,35,41,37.9,32,93,81.5,66,15,8.1,0,30,29.9,29.8,0.12,
2/9/2020,45,35.7,31,38,33.5,30,97,91.8,76,9,2.8,0,30.1,30.1,30,0.07,
2/10/2020,46,36.7,31,38,34.1,29,100,90.7,73,14,4.3,0,30.1,30,30,0,
2/11/2020,53,36.4,30,44,33.6,28,100,90.1,69,10,3.9,0,30,30,29.9,0,
2/12/2020,45,39.5,33,41,37,32,97,91,82,9,2.3,0,29.9,29.9,29.7,0,
2/13/2020,46,42.2,39,42,38.8,36,93,87.9,79,12,7.1,0,29.8,29.7,29.7,0,
2/14/2020,50,42.3,35,41,37.8,33,96,84.8,68,12,5.8,0,29.9,29.9,29.8,0,
2/15/2020,48,45.3,41,44,41.7,39,93,87.6,83,15,10.7,5,29.9,29.8,29.7,0.01,
2/16/2020,52,45.2,36,45,39.8,33,96,82.8,53,9,4.4,0,30,29.9,29.7,0.86,
2/17/2020,51,40.3,33,38,33.5,30,96,78.3,52,14,7,0,30,30,29.9,0.04,
2/18/2020,47,37.3,31,36,32.1,28,92,82.5,63,20,7.6,0,29.9,29.9,29.8,0,
2/19/2020,55,39.3,27,38,30,23,85,70.5,50,10,3.9,0,29.8,29.8,29.7,0,
2/20/2020,55,40.6,31,40,31.3,26,89,71.1,47,9,4.5,0,29.8,29.8,29.8,0,
2/21/2020,58,37,28,43,32,26,93,83.7,51,6,1.4,0,29.8,29.8,29.7,0,
2/22/2020,55,37.7,32,41,33.7,30,100,86.6,53,8,2.5,0,29.8,29.8,29.7,0,
2/23/2020,50,44.3,38,45,38.5,35,93,80.8,59,18,10.5,3,30.2,29.9,29.7,0,
2/24/2020,52,41.1,34,39,33.8,30,96,77.4,47,10,4.6,0,30.2,30.2,30.2,0.11,
2/25/2020,56,38.1,28,41,33.3,26,97,84.4,53,7,2,0,30.2,30.1,30,0,
2/26/2020,58,45.8,36,46,39.8,33,93,80.6,62,14,5.3,0,30.1,30.1,30,0,
2/27/2020,59,37.3,30,43,33.5,28,100,87.5,49,9,2.4,0,30.1,30,29.8,0,
2/28/2020,55,43.8,32,44,37.6,30,96,79.7,62,17,8.5,0,29.8,29.8,29.7,0,
2/29/2020,47,40.2,33,39,36.1,31,93,85.7,68,18,7.2,0,29.9,29.8,29.8,0.04,
3/1/2020,49,36.3,32,37,32.7,30,96,87.9,52,10,2.2,0,30.1,29.9,29.9,0.11,
3/2/2020,53,45,34,41,37.3,31,92,75.4,59,9,6,0,30,30,29.9,0,
3/3/2020,61,50.5,45,46,43.2,41,90,76.8,57,14,6.5,0,29.9,29.9,29.8,0,
3/4/2020,57,48.5,41,43,41.4,37,89,77.5,53,12,4.8,0,29.9,29.8,29.7,0,
3/5/2020,63,46.5,34,44,38,32,96,75.8,33,14,7.3,0,29.7,29.7,29.6,0,
3/6/2020,52,44.9,40,45,40.5,37,93,84.7,66,13,7.6,0,29.6,29.6,29.5,0,
3/7/2020,47,41.9,37,40,37.3,35,96,84.2,68,14,7.2,0,29.6,29.5,29.5,0.57,
3/8/2020,43,36.7,33,37,34.4,31,100,91.7,79,8,4.1,0,29.7,29.6,29.6,0.09,
